Kod Dx,Liczba wystąpień
426177001,16559
426783006,8125
164890007,8080
427084000,7255
164934002,7063
55827005,5401
55930002,4232
59931005,2877
427393009,2550
164889003,1780
251146004,1688
429622005,1668
39732003,1545
284470004,1312
10370003,1182
428750005,1158
270492004,1140
713427006,1096
427172004,1091
164917005,1063
47665007,853
164930006,801
698252002,772
426761007,724
61721007,654
59118001,649
164873001,647
111975006,391
6374002,385
445118002,380
428417006,366
713422000,297
17338001,294
713426002,246
233917008,244
164909002,240
106068003,215
251223006,215
6180003,213
164931005,176
251199005,162
164912004,142
29320008,139
164865005,136
164937009,136
13640000,116
89792004,110
425856008,109
251205003,106
81898007,96
27885002,76
251198002,76
426995002,75
74390002,72
,70
195042002,66
251170000,62
50799005,59
164896001,59
54329005,57
75532003,56
164947007,52
57054005,49
67751000119106,36
446358003,36
5609005,33
54016002,31
233897008,26
426648003,24
49578007,23
251187003,17
233892002,16
251166008,16
61277005,14
195060002,12
426664006,12
251164006,11
63593006,9
446813000,8
251180001,8
111288001,7
426183003,7
17366009,7
426627000,7
251120003,6
445211001,5
65778007,5
418818005,5
251211000,5
251173003,3
11157007,3
164942001,3
77867006,2
195101003,2
67741000119109,1
